lookup_id,treatment_assigned,treatment_received,open,open_time,ZIP,Member,Total   Number of GIfts,Total Gifts Amount,Largest Gift Amount,Largest Gift Date,First Gift Amount,First Gift Date,Latest Gift Amount,Lastest Gift Date,Total Pledges,Predicted Affinity for Children's Causes,Predicted Affinity for Educational Causes,Predicted Affinity for Science,Predicted Affinity for Arts & Culture,Predicted Level of Technology Adoption
1000,2,2,1,2020-10-20T23:13:52Z,,,,,,,,,,,,,,,,
1001,1,1,1,2020-10-20T20:53:38Z,,,,,,,,,,,,,,,,
1010,1,,,,22066-3908,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,42,Apprentice
1012,2,2,0,,20120,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
1016,4,4,1,2020-10-21T00:07:21Z,20191-3804,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1026,2,2,0,,06877-1522,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
103,4,4,0,,20164-8627,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1034,4,4,1,2020-10-20T21:15:15Z,20190-3429,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1050,1,1,0,,22009-0889,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,50,0
115,2,2,1,2020-10-20T20:15:23Z,20910-5238,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1182,2,2,0,,,,,,,,,,,,,,,,,
1190,4,4,0,,22101-1705,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1257,1,1,1,2020-10-21T00:06:06Z,20120-1069,8-10000037,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
129,1,1,0,,20148-7127,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
1329,4,4,1,2020-10-20T20:49:04Z,22195-7072,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
1330,1,1,0,,22102-2521,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1364,3,3,0,,20120-4100,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
1392,3,3,0,,,,,,,,,,,,,,,,,
1409,1,1,1,2020-10-21T00:41:57Z,22182-1973,8-10002030,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
1411,2,2,1,2020-10-21T00:07:12Z,20005-1703,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
143,3,3,1,2020-10-20T21:54:58Z,22066-2109,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
1438,3,3,0,,22102-4221,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1450,4,4,1,2020-10-20T22:46:45Z,36092-1930,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,42,0
1454,3,3,1,2020-10-20T20:29:54Z,20171-3358,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Apprentice
146,1,1,0,,22066-3519,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
1468,2,2,0,,22033-5078,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1477,3,3,1,2020-10-20T20:39:30Z,20148-5621,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,Apprentice
1486,3,,,,20191-4322,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
149,4,4,0,,20190-6011,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,Apprentice
1490,3,3,1,2020-10-20T20:30:55Z,,,,,,,,,,,,,,,,
1507,2,2,0,,22304,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1520,1,1,0,,22066-4016,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1526,1,1,1,2020-10-22T22:30:14Z,20147-4784,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,Apprentice
1530,3,3,0,,22066-4105,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1535,2,2,0,,,,,,,,,,,,,,,,,
1536,4,4,0,,20147,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
1547,2,2,0,,20110-6908,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,Apprentice
1548,3,3,1,2020-10-20T23:30:16Z,,,,,,,,,,,,,,,,
1560,2,2,0,,,,,,,,,,,,,,,,,
1565,3,3,0,,20190-3296,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,Apprentice
1570,2,2,1,2020-10-20T21:58:49Z,22079-4730,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1591,3,3,0,,22315-5526,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
1598,4,,,,22308-2441,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1604,2,2,0,,22192-1040,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
1608,2,2,0,,22308-2206,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
1618,3,3,0,,20171-2442,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,42,0
1630,3,3,0,,,,,,,,,,,,,,,,,
1645,1,1,0,,20190-4920,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
1649,2,2,1,2020-10-20T21:36:10Z,20194-2041,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
1676,3,3,0,,20169-3183,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
1692,2,2,1,2020-10-20T20:16:12Z,20170-4137,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
1694,2,2,0,,25414-4579,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
1699,1,1,1,2020-10-21T02:19:18Z,20152-3456,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1704,3,3,0,,22030-2826,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
1718,3,3,0,,20171-3851,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
1733,3,3,0,,20171,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1739,3,3,0,,20433-0001,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1744,3,3,0,,11213-1003,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
1758,1,1,0,,22066-2012,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
176,1,1,0,,22043-3054,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
1805,2,2,1,2020-10-21T01:30:08Z,20171-4495,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
1819,4,4,0,,20186-3075,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
1826,1,1,0,,23336-2464,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1838,2,2,0,,92657-1307,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1848,1,1,0,,22308-2220,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
1879,4,4,1,2020-10-20T20:49:08Z,20816-2464,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
1903,2,2,0,,,,,,,,,,,,,,,,,
1904,2,2,0,,,,,,,,,,,,,,,,,
1923,1,1,1,2020-10-20T20:30:39Z,80547-2370,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
1962,4,4,0,,20171-2987,8-10002169,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
197,4,4,0,,20002-4288,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Wizard
2001,1,1,0,,,,,,,,,,,,,,,,,
2037,1,1,0,,20004-1505,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
2097,1,1,0,,,,,,,,,,,,,,,,,
2105,3,3,0,,,,,,,,,,,,,,,,,
2107,2,2,1,2020-10-20T20:44:41Z,,,,,,,,,,,,,,,,
2121,3,3,0,,22102-3813,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
2122,4,4,0,,,,,,,,,,,,,,,,,
2135,4,4,0,,,,,,,,,,,,,,,,,
2137,1,,,,20152-6439,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
2140,2,2,0,,20147-3937,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
2159,4,4,0,,20152-6644,8-10002500,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
2162,1,1,1,2020-10-20T21:04:15Z,22101-1553,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
2182,3,3,0,,20120-2917,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
2199,2,2,0,,20132-1729,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
220,2,2,0,,20110-2772,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
2243,1,1,0,,22611-3435,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
2250,3,3,0,,20175-4832,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
2293,3,3,1,2020-10-23T16:40:31Z,22602-7626,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,42,0
2309,1,1,0,,22102-3830,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
2331,4,4,1,2020-10-20T21:21:20Z,22204-4411,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
2333,3,3,0,,22204-2949,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
303,4,4,0,,22066-2513,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
325,1,1,0,,22201-2663,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
327,4,4,0,,20120-1434,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,35,35,50,Apprentice
336,2,2,0,,20169-8147,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
359,1,1,0,,22066-2512,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
366,3,3,0,,22101-2609,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
368,4,4,0,,,,,,,,,,,,,,,,,
374,1,1,0,,,,,,,,,,,,,,,,,
39,4,4,1,2020-10-21T03:21:27Z,20147-7756,"",0,0.00,0.00,5/23/2012,0.00,5/23/2012,0.00,5/23/2012,0.00,35,35,35,35,0
444,4,4,1,2020-10-20T20:49:08Z,20191-4806,"",0,0.00,0.00,5/23/2012,0.00,5/23/2012,0.00,5/23/2012,0.00,35,35,35,35,0
45,1,1,0,,22315-2659,"",0,0.00,0.00,5/24/2011,0.00,5/24/2011,0.00,5/24/2011,0.00,0,0,0,0,0
467,4,4,0,,20169-3147,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
487,3,3,0,,20171-2918,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
493,1,1,0,,20190-5228,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
507,1,1,0,,20166-6916,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
510,2,2,0,,20176-2324,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,Apprentice
518,2,2,1,2020-10-20T20:35:46Z,,,,,,,,,,,,,,,,
544,2,2,0,,20191-4514,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,Novice
571,2,2,0,,28739-8609,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
575,1,1,1,2020-10-20T20:05:51Z,22101-4151,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,35,0
617,1,1,0,,,,,,,,,,,,,,,,,
627,1,1,0,,,,,,,,,,,,,,,,,
675,1,1,0,,,,,,,,,,,,,,,,,
687,2,2,0,,,,,,,,,,,,,,,,,
692,3,3,0,,,,,,,,,,,,,,,,,
704,3,3,0,,20171-2955,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
717,1,1,1,2020-10-20T20:46:47Z,20171-3077,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
718,3,3,0,,20191-2301,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
722,1,1,1,2020-10-20T19:53:54Z,,,,,,,,,,,,,,,,
723,3,3,0,,22032-2300,8-10003514,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
738,3,3,0,,11771-1606,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
744,1,1,0,,20171-3318,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10000018,1,1,0,,20171-2338,8-10002478,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10000023,1,1,1,2020-10-20T20:38:37Z,22033-4015,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10000053,2,2,0,,85207-2502,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10000086,2,2,0,,20191-1325,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
