Lookup ID,ZIP,Member,Total   Number of GIfts,Total Gifts Amount,Largest Gift Amount,Largest Gift Date,First Gift Amount,First Gift Date,Latest Gift Amount,Lastest Gift Date,Total Pledges,Predicted Affinity for Children's Causes,Predicted Affinity for Educational Causes,Predicted Affinity for Science,Predicted Affinity for Arts & Culture,Predicted Level of Technology Adoption
2113,20111-2206,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10038693,20105-3486,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10050843,22150-4134,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10041848,22191-1035,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,Apprentice
8-10033169,22042-4233,8-10002917,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,35,0
8-10040140,22030-8123,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,90,35,0
8-10041228,20170-5427,8-10003301,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10003941,20124-2312,8-10000089,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,35,0
8-10032323,20016-4024,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10047652,22031-3823,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10027000,20169-3266,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,90,35,35,42,Novice
1187,22201-2827,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10039345,22180-6902,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10013794,22181-3241,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10036179,20164-5434,8-10003050,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10018378,22042-3927,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10033516,22309-2711,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,90,35,35,0
8-10001408,22066-3819,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10033653,20121-5701,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
8-10049760,87116-1156,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10051931,20171-3382,8-10003811,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,0
358,22039-3339,"",11,"23,000.00","5,000.00",9/10/2019,"1,000.00",8/14/2012,"5,000.00",5/6/2020,"32,000.00",0,90,0,35,0
8-10040286,20165-3509,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10031038,07704-3415,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
