Lookup ID,Member,Total   Number of GIfts,Total Gifts Amount,Largest Gift Amount,Largest Gift Date,First Gift Amount,First Gift Date,Latest Gift Amount,Lastest Gift Date,Total Pledges
480,"",75,2150,300,7/11/2013,300,7/11/2013,25,9/21/2020,0
1549,8-10000255,55,5540,200,10/25/2016,140,7/28/2015,100,10/15/2020,6000
766,8-10002494,37,67745.3,10275.62,12/19/2019,3000,3/16/2010,10275.62,12/19/2019,49615.75
8-10021998,"",37,1512,42,3/15/2020,42,5/3/2017,42,10/15/2020,2500
927,"",33,4341.01,500,11/13/2015,500,4/23/2014,100,9/15/2020,4850
8-10025923,"",32,775,25,3/15/2020,25,10/31/2017,25,10/15/2020,0
8-10023122,"",31,2499.95,83.34,2/15/2020,83.33,10/25/2017,83.34,10/15/2020,5000
8-10026086,"",27,1458.39,104.17,3/18/2020,41.67,10/25/2017,104.16,10/15/2020,5000
486,"",26,2100,500,5/23/2012,500,5/23/2012,50,11/15/2017,1600
8-10021698,"",24,300,12.5,3/15/2019,12.5,4/28/2017,12.5,3/15/2019,300
8-10026084,"",24,600,25,2/15/2020,25,10/25/2017,25,2/15/2020,600
8-10026090,"",24,600,25,9/15/2019,25,10/25/2017,25,9/15/2019,600
8-10026720,"",24,221,25,4/18/2018,25,4/18/2018,20,5/29/2020,20
1349,"",21,12350,1500,7/30/2018,200,5/7/2013,0,8/27/2020,10700
2238,"",20,94285.8,49920,12/31/2016,500,11/13/2015,5483,9/25/2019,0
50,"",19,1050,100,10/30/2019,50,5/24/2011,100,10/30/2019,1100
8-10036514,"",19,1512,84,3/15/2020,84,10/30/2018,84,10/15/2020,5000
8-10036635,"",19,180,10,3/15/2020,10,10/23/2018,10,10/15/2020,600
122,"",18,34317.73,10000,10/16/2014,100,5/7/2013,1500,3/27/2020,13000
1359,"",18,1086.19,400,1/22/2020,10,5/7/2013,400,1/22/2020,0
91,8-10002353,18,9449.85,5000,5/24/2011,5000,5/24/2011,85,10/15/2020,5000
1620,8-10001588,17,18687.2,4368,12/31/2017,100,1/28/2014,1000,4/30/2020,5000
8-10017467,"",17,1416.61,83.33,2/15/2018,83.33,10/26/2016,83.33,2/15/2018,1416.61
